Appl No,Cont.Account,First Name,Last Name,Street,Street 3,Postl Code,Telephone,METER NUMBER,MOVE IN DATE,CCC NAME,CCC CODE
6000320719,600234394,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN HERANANDAPUR GRAM PANCHAYET VILL DAKSIN NANDITOL,THE GENERAL MANAGER BHARAT NET WEST BENG,732203,6294241768,,,MANIKCHAK CCC,6611101
6000320727,600234401,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN DAKSHIN CHANDIPUR GRAM PANCHAYET VILL DAKSHIN CH,THE GENERAL MANAGER BHARAT NET WEST BENG,732203,9775549295,IL0031236,31.08.2026,MANIKCHAK CCC,6611101
6000320749,600234423,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN UTTAR CHANDIPUR GRAM PANCHAYET VILL UTTAR CHANDI,THE GENERAL MANAGER BHARAT NET WEST BENG,732203,9775549295,IL0031235,31.08.2026,MANIKCHAK CCC,6611101
6000320751,600234425,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MANIKCHAK GRAM PANCHAYET VILL SYAMSUNDARI PO MAN,THE GENERAL MANAGER BHARAT NET WEST BENG,732202,6294241768,IL0031231,24.08.2026,MANIKCHAK CCC,6611101
6000320755,600234429,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN DHARAMPUR GRAM PANCHAYET VILL NEW KADAMTALA PO R,THE GENERAL MANAGER BHARAT NET WEST BENG,732202,6294241768,,,MANIKCHAK CCC,6611101
6000320767,600234442,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN GOPALPUR GRAM PANCHAYET VILL KALITOLA PO SOHABAT,THE GENERAL MANAGER BHARAT NET WEST BENG,732209,9775549295,IL0031234,27.08.2026,MANIKCHAK CCC,6611101
6000320718,600234393,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN DAULATNAGAR GRAM PANCHAYET VILL DAULATNAGAR PO D,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,6294241768,,,BHALUKA CCC,6612101
6000320721,600234396,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MASALDAHA GRAM PANCHAYET VILL KARIALI PO KARIALI,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,BHALUKA CCC,6612101
6000320734,600234408,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MALIOR II VILL KHARAGRAM PO TALASHUR PS HARISHCH,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,BHALUKA CCC,6612101
6000320738,600234412,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MAHANANDA TOLA GRAM PANCHAYET VILL NOBOGRAM NAKK,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,BHALUKA CCC,6612101
6000320742,600234416,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN BHALUKA VILL BHALUKA BAZAR PO BHALUKA BAZAR PS H,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,BHALUKA CCC,6612101
6000320744,600234418,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MALIOR I GRAM PANCHAYET VILL MALIOR PO MALIOR PS,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,BHALUKA CCC,6612101
6000320759,600234434,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN DAULATPUR GRAM PANCHAYET VILL DAULATPUR PO DAULA,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,BHALUKA CCC,6612101
6000320760,600234435,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN BILAIMARI GRAM PANCHAYET VILL DWARAK TOLA PO MAN,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,6294241768,,,BHALUKA CCC,6612101
6000320724,600234399,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN RATUA GRAM PANCHAYET VILL RUKUNDIPUR PO RATUA PS,THE GENERAL MANAGER BHARAT NET WEST BENG,732205,6294241768,,,SAMSI CCC,6612102
6000320729,600234403,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN DEBIPUR GRAM PANCHAYET VILL DEBIPUR PO DEBIPUR P,THE GENERAL MANAGER BHARAT NET WEST BENG,732205,6294241768,,,SAMSI CCC,6612102
6000320748,600234422,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN BAHARAL GRAM PANCHAYET VILL BAHARAL PO BAHARAL P,THE GENERAL MANAGER BHARAT NET WEST BENG,732205,6294241768,,,SAMSI CCC,6612102
6000320762,600234437,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN KAHALA GRAM PANCHAYET VILL KAHALA PO KAHALA PS R,THE GENERAL MANAGER BHARAT NET WEST BENG,732205,6294241768,,,SAMSI CCC,6612102
6000320728,600234402,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN SAMBALPUR GRAM PANCHAYAT VILL PO SAMBALPUR RATUA,THE GENERAL MANAGER BHARAT NET WEST BENG,732102,9734160801,IL0052566,07.09.2026,PARANPUR CCC,6612103
6000320730,600234404,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN ARAIDANGA GRAM PANCHAYET VILL GOBARJANNA PO ARAI,THE GENERAL MANAGER BHARAT NET WEST BENG,732204,9734160801,IL0052440,04.09.2026,PARANPUR CCC,6612103
6000320739,600234413,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN PORANPUR GRAM PANCHAYET VILL MIRJATPUR PO MIRJAT,THE GENERAL MANAGER BHARAT NET WEST BENG,732102,9734160801,IL0052439,03.09.2026,PARANPUR CCC,6612103
6000320752,600234426,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN SHRIPIR II VILL KUMARGANJ PO KUMARGANJ PS PUKHUR,THE GENERAL MANAGER BHARAT NET WEST BENG,732102,9734160801,,,PARANPUR CCC,6612103
6000320754,600234428,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN PUKHURIYA GRAM PANCHAYET VILL PO PUKHURIYA PS PU,THE GENERAL MANAGER BHARAT NET WEST BENG,732102,9734160801,IL0052567,03.09.2026,PARANPUR CCC,6612103
6000320763,600234438,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN PIRGANJ GRAM PANCHAYET VILL PIRGANJ PO PIRGANJ P,THE GENERAL MANAGER BHARAT NET WEST BENG,732102,9734160801,IL0052569,04.09.2026,PARANPUR CCC,6612103
