Labour Code,Description,Unit,Rate (Rs),lab_sl
L0001,CHECK & FINAL SURVEY OF HTOH LINE,KM,2761,1
L0002,CHECK & FINAL SURVEY OF LTOH LINE,KM,1714,2
L0003,ERECTION OF SUB-STN DP 9 MT LONG,NOS,12309,3
L0004,ERECTION OF SUB-STN DP 8 MT LONG,NOS,9875,4
L0005,ERECTION OF SP 9 MT LONG HT,NOS,2534,5
L0006,ERECTION OF SP 8 MT LONG HT,NOS,1680,6
L0007,ERECTION OF SP 8 MT LONG LT W/O FTTG,NOS,1501,7
L0008,ERECTION OF DP STRUCTURE 9 MT LONG,NOS,8922,8
L0009,ERECTION OF DP STRUCTURE 8 MT LONG,NOS,5654,9
L0010,ERECTION OF TP STRUCTURE 9 MT LONG,NOS,15242,10
L0011,ERECTION OF 4P STRUCTURE 9 MT LONG,NOS,24572,11
L0012,ERECTION OF 16 KVA DTR,NOS,1885,12
L0013,ERECTION OF 25 KVA DTR,NOS,1925,13
L0014,ERECTION OF 63 KVA DTR,NOS,2711,14
L0015,ERECTION OF 100 KVA DTR,NOS,3214,15
L0016,EXTENSION OF 8/9 M PCC POLE UPTO 3M,NOS,1506,16
L0017,ERECTION OF STAY SET HT,NOS,641,17
L0018,ERECTION OF STAY SET LT,NOS,555,18
L0019,EARTHING COMPLETE,NOS,313,19
L0020,FIXING OF PIN INSULATOR 11 KV,NOS,63,20
L0021,FIXING OF DISC INSULATOR 11 KV,NOS,65,21
L0022,RE-FIXING OF PIN INSULATOR 11 KV,NOS,53,22
L0023,RE-FIXING OF DISC INSULATOR 11 KV,NOS,53,23
L0024,FIXING OF TPGO ISL 11 KV SST,NOS,1193,24
L0025,FIXING OF TPGO ISL 11 KV LINE DP,NOS,3165,25
L0026,RE-FIXING OF TPGO ISL 11 KV SST,NOS,1717,26
L0027,FIXING OF T-OFF BRACKET ON SP,NOS,1495,27
L0028,FIXING OF T-OFF BRACKET ON DP,NOS,1483,28
L0029,STRINGING & SAGGING BY ACSR 50 3 WIRE,KM,8289,29
L0030,STRINGING & SAGGING BY ACSR 30 3 WIRE,KM,7899,30
L0031,STRINGING & SAGGING BY ACSR 30 4 WIRE,KM,8821,31
L0032,STRINGING & SAGGING BY ACSR 30 2 WIRE,KM,5322,32
L0033,DRAWAL OF PVC CABLE 10 SQ MM 4 CORE (EQV. TO ACSR 20 X 2 WIRE),KM,4873,33
L0034,RE-SAGGING BY ACSR 50 3 WIRE,KM,1708.8,34
