Materials Code,Description,Unit,Rate(Rs),mat_sl,Type,,,,,,,,,,,,,,,,
110030141,P C C POLE : 8M LONG,NOS,5363.44,1,Central,,,,,,,,,,,,,,,,
110030241,P C C POLE : 9M LONG,NOS,10198.28,2,Central,,,,,,,,,,,,,,,,
110010341,STEEL TUBULAR POLE 9 M LONG (WITH CAP),NOS,11550.45,3,Central,,,,,,,,,,,,,,,,
110011541,STEEL TUBULAR POLE 9.5M LONG (WITH CAP),NOS,16598.41,4,Central,,,,,,,,,,,,,,,,
110010741,STEEL TUBULAR POLE 11 M LONG (WITH CAP),NOS,17887.87,5,Central,,,,,,,,,,,,,,,,
110020711,RAIL POLE (11-13 M LONG) 52 KG,MT,93806.05,6,Central,,,,,,,,,,,,,,,,
110051211,WIDE FLANGE BEAM: 13 M LONG WBP160X160X30.44 KG/M WITH GRADE E360,MT,65952.78,7,Central,,,,,,,,,,,,,,,,
102010911,149.5 CHANNEL 100X5ONINI,MT,109813.95,8,Central,,,,,,,,,,,,,,,,
102010611,•M.S CHANNEL 75X40 MM,MT,110043.09,9,Central,,,,,,,,,,,,,,,,
101011311,M S.ANGLE 65X65X6 MM,MT,108667.24,10,Central,,,,,,,,,,,,,,,,
101011011,M.S ANGLE 50X50X6 MM,MT,109603.22,11,Central,,,,,,,,,,,,,,,,
103011211,M.S FLAT 50X6 MM,MT,117623.30,12,Central,,,,,,,,,,,,,,,,
103011511,M.S FLAT 65X6 MM,MT,117493.74,13,Central,,,,,,,,,,,,,,,,
103011611,"M,S FLAT 65X8 MM",MT,114149.39,14,Central,,,,,,,,,,,,,,,,
103011911,M.S FLAT 753{8 MM,MT,114255.68,15,Central,,,,,,,,,,,,,,,,
103012311,M.S FLAT 75X12 MM,MT,114336.31,16,Central,,,,,,,,,,,,,,,,
504130432,GI STAY SET HT(1830X20MM)WRKG LD•7900ICG,NOS,795.83,17,Central,,,,,,,,,,,,,,,,
504130332,Cl STAY SET LT(1680X16MM)WRKG LD•5100KG,NOS,462.17,18,Central,,,,,,,,,,,,,,,,
504110541,G 1 EARTH SPIKE 1833X20MM,NOS,367.98,19,Central,,,,,,,,,,,,,,,,
503010711,G.I. WIRE 4 MM,MT,137360.98,20,Central,,,,,,,,,,,,,,,,
503010811,G.I  WIRE 5 MM,MT,13686598.00,21,Central,,,,,,,,,,,,,,,,
503050911,G.1. STAY WIRE 7 / 4 MM (8 SWG),MT,141692.18,22,Central,,,,,,,,,,,,,,,,
503050711,6.1. STAY WERE 7/ 3.15KM (10 SWG),MT,142310.93,23,Central,,,,,,,,,,,,,,,,
503050611,G.I. STAY WIRE 7/ 2.5MM (12 SWG),MT,145404.64,24,Central,,,,,,,,,,,,,,,,
508020432,33KV PORCELAIN POST INSULATOR (STACK TYPE),NOS,1153.01,25,Central,,,,,,,,,,,,,,,,
508011041,33 KV POLYMER COMPOSITE WITH FITTINGS PIN INSULATOR (10KN- 900MM CREEPAGE DISTANCE),NOS,678.15,26,Central,,,,,,,,,,,,,,,,
508030641,33 KV POLYMER comPosit WITH FITTINGs 70KN DISC INSULATOR,NOS,326.70,27,Central,,,,,,,,,,,,,,,,
508020341,11KV PORCELAIN POST INSULATOR,NOS,289.57,28,Central,,,,,,,,,,,,,,,,
508011141,11 KV POLYMER COMPOSITE WITH FITTINGS PIN INSULATOR (5KN- 320MM CREEPAGE DISTANCE),NOS,243.79,29,Central,,,,,,,,,,,,,,,,
508030541,11 KV POLYMER COMPOSITE 45KN DISC INSULATOR,NOS,183.15,30,Central,,,,,,,,,,,,,,,,
504010132,COMPOSITE HARDWARE FITTINGS FOR ACSR WEASEL/ RABBIT (30 /50SQMM)C01NDUCTOR,SET,327.83,31,Central,,,,,,,,,,,,,,,,
504010232,COMPOSITE HARDWARE FITTINGS SUITABLE FOR ACSR DOG1100SQMM)CONDUCTOR,SET,518.96,32,Central,,,,,,,,,,,,,,,,
504010332,SINGLE TENSION HARDWARE FITTINGS FOR ACSR WOLF 1[150SQMM) CONDUCTOR,SET,1354.91,33,Central,,,,,,,,,,,,,,,,
504010432,SINGLE SUSPENSION HARDWARE FITTINGS FOR ACSR WOLF (150SQMNI)CONDUCTOR,SET,647.62,34,Central,,,,,,,,,,,,,,,,
504010532,SINGLE TENSION HARDWARE FITTINGS FOR PANTHER (200SQMM)CONDUCTOR,SET,1683.48,35,Central,,,,,,,,,,,,,,,,
504010632,SINGLE SUSPENSION HARDWARE FITTINGS FOR PANTHER (200SQMM) CONDUCTOR,SET,730.12,36,Central,,,,,,,,,,,,,,,,
309010541,LIGHTNING ARRESTER 42KV 10 KA PORCELAIN HOUSED GAPLESS TYPE FOR 33KV SYSTEM I,NOS,762827.00,37,Central,,,,,,,,,,,,,,,,
309010841,LIGHTNING ARRESTER 12 KV 5KA PORCELAIN HOUSED GAPLESS TYPEFOR 11KV SYSTEM,NOS,524.23,38,Central,,,,,,,,,,,,,,,,
309011041,LIGHTNING ARRESTER 12 KV 10KA PORCELAIN HOUSED STATION CLASS,NOS,2905.62,39,Central,,,,,,,,,,,,,,,,
304010632,TPGO ISOLATOR : 11 KV :400 AMP.,SET,19138.97,40,Central,,,,,,,,,,,,,,,,
304010532,TPGO ISOLATOR : 11 KV : 200 AMP.,SET,10384.98,41,Central,,,,,,,,,,,,,,,,
304010332,33 KV 400 A TPGO ISOLATOR (ROCKI NG TYPE},SET,40318.52,42,Central,,,,,,,,,,,,,,,,
304022332,33 KV 400 A CR TYPE ISOLATOR WITHOUT EARTH SWITCH (HIGH LEVEL),SET,41924.78,43,Central,,,,,,,,,,,,,,,,
304020832,33 KV 400 A CR TYPE ISOLATOR WITHOUT EARTH SWITCH (LOW LEVEL),SET,41486.71,44,Central,,,,,,,,,,,,,,,,
304021132,33 KV 400 A CR TYPE ISOLATOR WITH EARTH SWITCH (HIGH LEVEL),SET,55615.93,45,Central,,,,,,,,,,,,,,,,
502010321,ACSR SQUIRM. (20 SQMM) CONDUCTOR,KM,25658.05,46,Central,,,,,,,,,,,,,,,,
502010621,ACSR WEASEL (30SQMM) CONDUCTOR,KM,38139.33,47,Central,,,,,,,,,,,,,,,,
502010921,ACSR RABBIT (50SQMM) CONDUCTOR,KM,62290.12,48,Central,,,,,,,,,,,,,,,,
502011221,ACSR DOG (100SQMM) CONDUCTOR,KM,122653.45,49,Central,,,,,,,,,,,,,,,,
502011521,ACSR WOLF (15051)MM) CONDUCTOR,KM,203337.56,50,Central,,,,,,,,,,,,,,,,
502011821,COND ACSR PNTH 200SMNI,KM,271669.29,51,Central,,,,,,,,,,,,,,,,
501012921,CABLE(PVC 1.1 KV GRADE) 2CX4SQMM,KM,43310.09,52,Central,,,,,,,,,,,,,,,,
501013021,CABLE(PVC 1.1 KV GRADE) 2CX6SQMM,KM,44410.50,53,Central,,,,,,,,,,,,,,,,
