CCC,CUM. INPUT (MU),CUM. DEMAND(MU),CUM. COLLEC. (MU),CUM. AT&C LOSS,CUM. DIST. LOSS,COLL. EFF.,MONTH,YEAR
RATHBARI,95,75.4,73.87,22.24%,20.63%,97.96%,1,2023
FULBARI,55.41,52.07,52.21,6.02%,6.02%,100.00%,1,2023
MOKDAMPUR,64.82,53.23,51.14,21.11%,17.88%,96.07%,1,2023
OLD MALDA,89.85,68.79,67.99,24.33%,23.44%,98.84%,1,2023
KALIACHAK,64.85,42.61,40.43,37.66%,34.29%,94.88%,1,2023
SUJAPUR,68.67,40.69,40.86,40.74%,40.74%,100.00%,1,2025
AIHO,52.04,37.9,37.83,27.30%,27.17%,99.81%,1,2023
MOTHABARI,49.22,36.87,35.73,27.41%,25.08%,96.89%,1,2023
MATHURAPUR,51.46,38.47,35.74,30.55%,25.26%,92.93%,1,2023
BAISNABNAGAR,37.05,28.56,27.07,26.93%,22.92%,94.79%,1,2023
GOLAPGANJ,39.49,29.1,26.95,31.76%,26.32%,92.62%,1,2023
South Malda Div Total,667.87,503.71,489.83,26.66%,24.58%,97.25%,1,2023
SAMSI,80.62,44.17,45.65,45.21%,45.21%,100.00%,1,2023
PARANPUR,50.71,27.46,27.6,45.85%,45.85%,100.00%,1,2023
GAZOLE,79.82,52.79,53.09,33.87%,33.87%,100.00%,1,2023
CHANCHAL,48.41,37.59,39.84,22.35%,22.35%,100.00%,1,2023
H.C. PUR,48.16,33.42,35.35,30.60%,30.60%,100.00%,1,2023
BHALUKA,54.24,28.84,29.47,46.83%,46.83%,100.00%,1,2023
BAMANGOLA,31.11,26.39,27.98,15.17%,15.17%,100.00%,1,2023
MALATIPUR,53.63,33.73,37.47,37.11%,37.11%,100.00%,1,2023
KUSHIDA,34.67,23.99,25.69,30.80%,30.80%,100.00%,1,2023
PANDUA,34.24,18.75,18.77,45.25%,45.25%,100.00%,1,2023
North Malda Div Total,515.6,327.12,340.91,36.56%,36.56%,100.00%,1,2023
RAIGANJ,95.3,72.49,74.71,23.93%,23.93%,100.00%,1,2023
KALIAGANJ,70.97,60.67,62.13,14.52%,14.52%,100.00%,1,2023
HEMTABAD,29.78,24.96,26.67,16.18%,16.18%,100.00%,1,2023
BIRNAGAR,71.72,64.19,65.77,10.50%,10.50%,100.00%,1,2023
ITAHAR,79.92,47.33,48.6,40.78%,40.78%,100.00%,1,2023
KARANDEGHI,72.13,48.37,52.29,32.95%,32.95%,100.00%,1,2023
Raiganj Div Total,419.82,318.01,330.18,24.25%,24.25%,100.00%,1,2023
DALKHOLA,23.69,18.96,19.25,19.97%,19.97%,100.00%,1,2023
KANKI,44.32,31.56,29.43,33.60%,28.79%,93.25%,1,2023
GOALPOKHAR,54.73,34.24,33.97,37.93%,37.44%,99.22%,1,2023
ISLAMPUR,81.08,61.46,57.58,28.98%,24.20%,93.69%,1,2023
CHOPRA,64.6,39.46,36.21,43.96%,38.92%,91.75%,1,2023
Islampur Div Total,268.42,185.68,176.44,34.27%,30.83%,95.02%,1,2023
BALURGHAT,71.79,69.46,72.34,3.24%,3.24%,100.00%,1,2023
HILI,20.78,17.68,18.88,14.93%,14.93%,100.00%,1,2023
KUMARGUNJ,35.81,26.53,28.22,25.91%,25.91%,100.00%,1,2023
TAPAN,80.56,34.07,38.84,57.70%,57.70%,100.00%,1,2023
PATIRAM,30.81,22.47,22.64,27.07%,27.07%,100.00%,1,2023
Balurghat Div Total,239.75,170.22,180.92,29.00%,29.00%,100.00%,1,2023
BUNIADPUR,45.55,33.02,31.65,30.51%,27.51%,95.87%,1,2023
HARIRAMPUR,37.03,21.18,21.95,42.81%,42.81%,100.00%,1,2023
GANGARAMPUR,101.44,53.95,54.86,46.82%,46.82%,100.00%,1,2023
KUSHMUNDI,38.86,29.57,29.7,23.90%,23.90%,100.00%,1,2023
Buniadpur Div Total,222.88,137.72,138.16,38.21%,38.21%,100.00%,1,2023
RATHBARI,95.68,75.51,75.89,21.08%,21.08%,100.00%,2,2023
FULBARI,55.67,52.37,53.5,5.92%,5.92%,100.00%,2,2023
